Date,Open,High,Low,Close,Adj Close,Volume
2014-06-06,107.080002,108.360001,106.980003,108.180000,92.565773,4299600
2014-06-09,107.739998,109.300003,107.660004,108.750000,93.053505,3900400
2014-06-10,108.500000,109.500000,108.400002,109.309998,93.532692,4752700
2014-06-11,108.930000,108.980003,108.330002,108.690002,93.002182,2738800
2014-06-12,108.470001,108.500000,106.440002,106.650002,91.256615,3408600
2014-06-13,106.550003,107.230003,106.070000,106.769997,91.359291,2009100
2014-06-16,106.500000,106.879997,105.730003,106.809998,91.393532,2137200
2014-06-17,106.510002,107.000000,106.000000,106.669998,91.273720,2138400
2014-06-18,106.629997,107.599998,106.050003,107.480003,91.966827,2218700
2014-06-19,106.989998,107.419998,106.690002,107.250000,91.770020,2592400
2014-06-20,108.050003,109.529999,107.639999,109.379997,93.592567,7762900
2014-06-23,109.250000,109.849998,108.290001,108.779999,93.079185,2839500
2014-06-24,108.559998,109.339996,107.000000,107.809998,92.249176,2864200
2014-06-25,107.480003,108.879997,107.349998,108.440002,92.788261,2176200
2014-06-26,108.550003,108.800003,107.849998,108.519997,92.856697,1522900
2014-06-27,108.339996,108.879997,107.730003,108.779999,93.079185,3632100
2014-06-30,108.680000,109.029999,107.970001,108.669998,92.985062,2249200
2014-07-01,109.080002,109.750000,109.010002,109.169998,93.412888,2346300
2014-07-02,109.320000,109.949997,109.300003,109.559998,93.746597,1849000
2014-07-03,109.900002,111.160004,109.690002,111.080002,95.047203,2876200
2014-07-07,110.180000,110.449997,109.570000,110.160004,94.260017,2697100
2014-07-08,110.209999,110.379997,109.400002,109.459999,93.661026,2450600
2014-07-09,109.790001,110.290001,109.419998,110.139999,94.242867,2270600
2014-07-10,108.139999,109.570000,107.800003,109.360001,93.575470,2303600
2014-07-11,109.500000,109.989998,108.650002,109.959999,94.088882,1992300
2014-07-14,110.430000,111.040001,110.089996,110.089996,94.200096,2375100
2014-07-15,110.250000,110.419998,109.400002,109.849998,93.994743,3212900
2014-07-16,110.180000,111.459999,109.919998,111.400002,95.321030,3974100
2014-07-17,110.400002,110.669998,108.930000,109.070000,93.917465,3164700
2014-07-18,109.430000,110.169998,109.050003,110.169998,94.864655,2424900
2014-07-21,110.000000,110.550003,109.449997,110.230003,94.916336,2075900
2014-07-22,110.839996,111.279999,109.800003,110.059998,94.769928,2879400
